Date,Price
2025-07-12,117355
2025-07-01,117516
2025-06-01,107135
2025-05-01,104638
2025-04-01,94207
2025-03-01,82548
2025-02-01,84373
2025-01-01,102405
2024-12-01,93429
2024-11-01,96449
2024-10-01,70215
2024-09-01,63329
2024-08-01,58969
2024-07-01,64619
2024-06-01,62678
2024-05-01,67491
2024-04-01,60636
2024-03-01,71333
2024-02-01,61198
2024-01-01,42582
2023-12-01,42265
2023-11-01,37712
2023-10-01,34667
2023-09-01,26967
2023-08-01,25931
2023-07-01,29230
2023-06-01,30477
2023-05-01,27219
2023-04-01,29268
2023-03-01,28478
2023-02-01,23147
2023-01-01,23139
2022-12-01,16547
2022-11-01,17168
2022-10-01,20495
2022-09-01,19431
2022-08-01,20049
2022-07-01,23336
2022-06-01,19784
2022-05-01,31792
2022-04-01,37714
2022-03-01,45538
2022-02-01,43193
2022-01-01,38483
2021-12-01,46306
2021-11-01,57005
2021-10-01,61318
2021-09-01,43790
2021-08-01,47166
2021-07-01,41626
2021-06-01,35040
2021-05-01,37332
2021-04-01,57750
2021-03-01,58918
2021-02-01,45137
2021-01-01,33114
2020-12-01,29001
2020-11-01,19625
2020-10-01,13781
2020-09-01,10784
2020-08-01,11680
2020-07-01,11323
2020-06-01,9137
2020-05-01,9461
2020-04-01,8658
2020-03-01,6438
2020-02-01,8599
2020-01-01,9350
2019-12-01,7193
2019-11-01,7569
2019-10-01,9199
2019-09-01,8293
2019-08-01,9630
2019-07-01,10085
2019-06-01,10817
2019-05-01,8574
2019-04-01,5350
2019-03-01,4105
2019-02-01,3854
2019-01-01,3457
2018-12-01,3742
2018-11-01,4017
2018-10-01,6317
2018-09-01,6625
2018-08-01,7037
2018-07-01,7780
2018-06-01,6404
2018-05-01,7494
2018-04-01,9240
2018-03-01,6973
2018-02-01,10397
2018-01-01,10221
2017-12-01,14156
2017-11-01,10233
2017-10-01,6468
2017-09-01,4338
2017-08-01,4703
2017-07-01,2875
2017-06-01,2480
2017-05-01,2286
2017-04-01,1347
2017-03-01,1071
2017-02-01,1179
2017-01-01,970
2016-12-01,963
2016-11-01,745
2016-10-01,700
2016-09-01,609
2016-08-01,575
2016-07-01,624
2016-06-01,673
2016-05-01,531
2016-04-01,448
2016-03-01,416
2016-02-01,437
2016-01-01,368
2015-12-01,430
2015-11-01,377
2015-10-01,314
2015-09-01,236
2015-08-01,230
2015-07-01,284
2015-06-01,263
2015-05-01,230
2015-04-01,236
2015-03-01,244
2015-02-01,254
2015-01-01,217
2014-12-01,320
2014-11-01,378
2014-10-01,338
2014-09-01,386
