Date,Price
2025-07-15,0.1938
2025-07-01,0.1974
2025-06-01,0.1651
2025-05-01,0.1926
2025-04-01,0.1723
2025-03-01,0.1667
2025-02-01,0.2020
2025-01-01,0.3287
2024-12-01,0.3157
2024-11-01,0.4220
2024-10-01,0.1614
2024-09-01,0.1144
2024-08-01,0.1013
2024-07-01,0.1220
2024-06-01,0.1243
2024-05-01,0.1591
2024-04-01,0.1333
2024-03-01,0.2201
2024-02-01,0.1172
2024-01-01,0.0788
2023-12-01,0.0895
2023-11-01,0.0834
2023-10-01,0.0683
2023-09-01,0.0621
2023-08-01,0.0638
2023-07-01,0.0778
2023-06-01,0.0665
2023-05-01,0.0717
2023-04-01,0.0798
2023-03-01,0.0770
2023-02-01,0.0807
2023-01-01,0.0962
2022-12-01,0.0703
2022-11-01,0.1069
2022-10-01,0.1270
2022-09-01,0.0617
2022-08-01,0.0613
2022-07-01,0.0683
2022-06-01,0.0661
2022-05-01,0.0859
2022-04-01,0.1276
2022-03-01,0.1378
2022-02-01,0.1332
2022-01-01,0.1418
2021-12-01,0.1705
2021-11-01,0.2147
2021-10-01,0.2802
2021-09-01,0.2042
2021-08-01,0.2785
2021-07-01,0.2083
2021-06-01,0.2542
2021-05-01,0.3258
2021-04-01,0.3376
2021-03-01,0.0537
2021-02-01,0.0481
2021-01-01,0.0372
2020-12-01,0.0047
2020-11-01,0.0036
2020-10-01,0.0026
2020-09-01,0.0026
2020-08-01,0.0032
2020-07-01,0.0032
2020-06-01,0.0023
2020-05-01,0.0026
2020-04-01,0.0024
2020-03-01,0.0018
2020-02-01,0.0022
2020-01-01,0.0024
2019-12-01,0.0020
2019-11-01,0.0023
2019-10-01,0.0026
2019-09-01,0.0024
2019-08-01,0.0025
2019-07-01,0.0029
2019-06-01,0.0033
2019-05-01,0.0034
2019-04-01,0.0025
2019-03-01,0.0021
2019-02-01,0.0020
2019-01-01,0.0019
2018-12-01,0.0023
2018-11-01,0.0022
2018-10-01,0.0038
2018-09-01,0.0059
2018-08-01,0.0048
2018-07-01,0.0029
2018-06-01,0.0025
2018-05-01,0.0034
2018-04-01,0.0052
2018-03-01,0.0028
2018-02-01,0.0060
2018-01-01,0.0060
2017-12-01,0.0090
2017-11-01,0.0021
