Date,Price
2025-07-12,2933
2025-07-01,2957
2025-06-01,2486
2025-05-01,2529
2025-04-01,1793
2025-03-01,1823
2025-02-01,2237
2025-01-01,3298
2024-12-01,3332
2024-11-01,3705
2024-10-01,2515
2024-09-01,2603
2024-08-01,2513
2024-07-01,3231
2024-06-01,3432
2024-05-01,3760
2024-04-01,3012
2024-03-01,3647
2024-02-01,3341
2024-01-01,2282
2023-12-01,2281
2023-11-01,2052
2023-10-01,1816
2023-09-01,1671
2023-08-01,1645
2023-07-01,1856
2023-06-01,1933
2023-05-01,1874
2023-04-01,1876
2023-03-01,1822
2023-02-01,1605
2023-01-01,1586
2022-12-01,1196
2022-11-01,1295
2022-10-01,1572
2022-09-01,1327
2022-08-01,1553
2022-07-01,1681
2022-06-01,1067
2022-05-01,1942
2022-04-01,2730
2022-03-01,3281
2022-02-01,2919
2022-01-01,2688
2021-12-01,3682
2021-11-01,4631
2021-10-01,4288
2021-09-01,3001
2021-08-01,3433
2021-07-01,2536
2021-06-01,2274
2021-05-01,2714
2021-04-01,2773
2021-03-01,1918
2021-02-01,1416
2021-01-01,1314
2020-12-01,737
2020-11-01,614
2020-10-01,386
2020-09-01,359
2020-08-01,435
2020-07-01,345
2020-06-01,226
2020-05-01,230
2020-04-01,207
2020-03-01,133
2020-02-01,219
2020-01-01,180
2019-12-01,129
2019-11-01,152
2019-10-01,183
2019-09-01,179
2019-08-01,172
2019-07-01,218
2019-06-01,290
2019-05-01,268
2019-04-01,162
2019-03-01,141
2019-02-01,136
2019-01-01,107
2018-12-01,133
2018-11-01,113
2018-10-01,197
2018-09-01,232
2018-08-01,283
2018-07-01,433
2018-06-01,455
2018-05-01,577
2018-04-01,669
2018-03-01,396
2018-02-01,855
2018-01-01,1118
2017-12-01,756
2017-11-01,447
